date,county,state,vehicle_primary_use,battery_electric_vehicles_bevs_,plug_in_hybrid_electric_vehicles_phevs_,electric_vehicle_ev_total,non_electric_vehicles,total_vehicles,percent_electric_vehicles
2020-08-31T00:00:00.000,Clallam,WA,Truck,1,0,1,21706,21707,0.004606808863500253374487492514
2020-08-31T00:00:00.000,Cowlitz,WA,Truck,0,0,0,28916,28916,0
2020-10-31T00:00:00.000,Benton,WA,Passenger,403,340,743,134708,135451,0.5485378476349380956951222213
2020-10-31T00:00:00.000,Cascade,MT,Passenger,0,1,1,54,55,1.818181818181818181818181818
2020-10-31T00:00:00.000,Chelan,WA,Truck,0,0,0,22770,22770,0
2020-10-31T00:00:00.000,Boone,MO,Passenger,0,1,1,11,12,8.333333333333333333333333333
2020-10-31T00:00:00.000,Broward,FL,Passenger,1,1,2,107,109,1.834862385321100917431192661
2020-10-31T00:00:00.000,Calvert,MD,Passenger,0,2,2,83,85,2.352941176470588235294117647
2020-10-31T00:00:00.000,Camden,NJ,Passenger,0,1,1,22,23,4.347826086956521739130434783
2020-10-31T00:00:00.000,Douglas,CO,Passenger,0,1,1,76,77,1.298701298701298701298701299
2020-10-31T00:00:00.000,Douglas,WA,Truck,0,0,0,12418,12418,0
2020-10-31T00:00:00.000,DuPage,IL,Passenger,3,0,3,52,55,5.454545454545454545454545455
2020-10-31T00:00:00.000,El Dorado,CA,Passenger,1,0,1,33,34,2.941176470588235294117647059
2020-10-31T00:00:00.000,El Paso,CO,Passenger,2,0,2,694,696,0.2873563218390804597701149425
2020-09-30T00:00:00.000,Columbia,WA,Passenger,4,3,7,2421,2428,0.2883031301482701812191103789
2020-09-30T00:00:00.000,Contra Costa,CA,Passenger,4,2,6,314,320,1.87500
2020-09-30T00:00:00.000,Cowlitz,WA,Passenger,157,120,277,72168,72445,0.3823590309890261577748636897
2020-09-30T00:00:00.000,El Paso,TX,Passenger,3,0,3,412,415,0.7228915662650602409638554217
2020-09-30T00:00:00.000,Fairbanks North Star,AK,Passenger,0,1,1,98,99,1.010101010101010101010101010
2020-09-30T00:00:00.000,Flathead,MT,Passenger,1,0,1,55,56,1.785714285714285714285714286
2020-09-30T00:00:00.000,Fort Bend,TX,Passenger,1,0,1,44,45,2.222222222222222222222222222
2020-09-30T00:00:00.000,Garfield,WA,Truck,0,0,0,987,987,0
2020-07-31T00:00:00.000,King,WA,Passenger,24912,7751,32663,1371407,1404070,2.326308517381612027890347347
2020-07-31T00:00:00.000,Kings,NY,Passenger,1,0,1,64,65,1.538461538461538461538461538
2020-07-31T00:00:00.000,Kittitas,WA,Passenger,104,47,151,29762,29913,0.5047972453448333500484739077
